date,title,amount
2025-08-19,Mp *Padaria,10.00
2025-08-19,Cantina Csa,43.62
2025-08-19,Kanto do Pao,50.21
2025-08-19,Nosso Pao Delicatess,8.50
2025-08-18,Pague Menos,62.79
2025-08-18,Economart,86.74
2025-08-17,Cantina Csa,40.37
2025-08-17,53943441jeorge,8.00
2025-08-17,Kanto do Pao,19.42
2025-08-16,Concret*Progresso Kali,18.03
2025-08-16,Carloseduardo,61.00
2025-08-16,Pague Menos,34.27
2025-08-16,Kanto do Pao,41.53
2025-08-15,Kanto do Pao,28.37
2025-08-14,Farmaciamegavida,24.99
2025-08-14,Cantina Csa,36.50
2025-08-14,Nosso Pao Delicatess,17.00
2025-08-13,Shoppingfeirade,11.00
2025-08-13,Nosso Pao Delicatess,21.55
2025-08-13,Concret*Progresso Kali,30.53
2025-08-12,Churros Mania,8.00
2025-08-12,Geu Frutas,8.08
2025-08-12,Uber - NuPay,13.15
2025-08-12,Concret*Progresso Kali,20.99
2025-08-12,Kairos Delicatessen,19.29
2025-08-12,Kanto do Pao,27.09
2025-08-11,Uber - NuPay,17.80
2025-08-11,Subadq *A Arnaldo Supe,55.80
2025-08-10,55.381.801 Raziel Hen - Parcela 1/2,52.98
2025-08-09,Posto Astec,214.44
2025-08-09,Concret*Progresso Kali,19.31
2025-08-08,Carloseduardo,53.20
2025-08-08,Concret*Progresso Kali,12.00
2025-08-06,Concret*Progresso Kali,20.99
2025-08-06,Pague Menos - Parcela 1/2,58.87
2025-08-06,Cantina Csa,25.49
2025-08-05,Cicera Alves Pereira,17.90
2025-08-04,Pg *Rapidprint Impress,6.00
2025-08-03,Economart,1371.76
2025-08-03,Carloseduardo,29.00
2025-08-02,Ifd*M J Pizzaria,66.89
2025-08-02,53943441jeorge,11.40
2025-08-02,Kanto do Pao,18.55
2025-08-01,Mp *Padaria,7.50
2025-08-01,Concret*Progresso Kali,14.17
2025-08-01,Lojas Le Biscuit,53.43
2025-08-01,Cantina Csa,75.31
2025-07-30,Kanto do Pao,36.11
2025-07-30,Concret*Progresso Kali,5.15
2025-07-29,Carloseduardo,79.90
2025-07-29,Mp *Padaria,3.00
2025-07-29,Kanto do Pao,29.60
2025-07-29,Pagamento recebido,-251.00
2025-07-29,Juros de dívida encerrada,1.58
2025-07-29,Encerramento de dívida,-1.58
2025-07-29,IOF de rotativo,1.58
2025-07-29,Kanto do Pao,16.90
2025-07-28,Crédito de rotativo,-250.25
2025-07-28,Saldo em rotativo,250.25
2025-07-27,Cantina Csa,16.64
2025-07-27,Concret*Progresso Kali,61.68
2025-07-27,Vrsholding,27.69
2025-07-26,Kanto do Pao,71.46
2025-07-26,Farmaciamegavida,17.50
2025-07-26,Posto Gasauto Noide,221.66
2025-07-24,Concret*Progresso Kali,10.53
2025-07-24,Concret*Progresso Kali,25.06
2025-07-24,Carloseduardo,28.00
2025-07-22,Farmacia Brito,176.87
2025-07-21,Economart,1491.79
2025-07-21,Kanto do Pao,80.68
2025-07-20,53943441jeorge,28.80
2025-07-20,53943441jeorge,12.50
2025-07-20,53943441jeorge,8.50
2025-07-20,Farmacia Caroa - Parcela 2/2,55.48
2025-07-20,53943441jeorge,23.00
2025-07-20,Pagamento recebido,-4394.00
