date,title,amount
2026-01-19,Dudu Naturais,88.90
2026-01-19,Economart,280.61
2026-01-18,Pagamento recebido,-2000.00
2026-01-18,53943441jeorge,15.50
2026-01-18,Shoppingfeirade,12.00
2026-01-17,Concret*Progresso Sty,11.57
2026-01-17,Cantina Csa,19.60
2026-01-17,Cantina Csa,49.11
2026-01-17,IOF de rotativo,14.27
2026-01-17,Juros de rotativo,346.00
2026-01-17,Carloseduardo,52.00
2026-01-16,Concret*e Santos Come,46.18
2026-01-16,Pague Menos,20.39
2026-01-16,Kanto do Pao,41.07
2026-01-16,Incardio Especialidade,29.00
2026-01-16,Concret*e Santos Come,12.21
2026-01-16,Kanto do Pao,35.69
2026-01-16,Posto Gasauto Noide,230.89
2026-01-15,Cantina Csa,42.84
2026-01-15,Concret*e Santos Come,6.90
2026-01-15,Concret*e Santos Come,10.95
2026-01-15,Kanto do Pao,38.75
2026-01-14,Economart,113.19
2026-01-13,Economart,234.82
2026-01-13,Carloseduardo,37.55
2026-01-12,Kanto do Pao,81.53
2026-01-12,Arnaldo Supermercados,63.72
2026-01-11,Concret*e Santos Come,14.48
2026-01-11,Cantina Csa,26.80
2026-01-11,Salao Vizom,105.00
2026-01-11,Kanto do Pao,54.99
2026-01-10,Carloseduardo,48.80
2026-01-10,Concret*e Santos Come,20.91
2026-01-10,Lojas Americanas,56.47
2026-01-10,Nosso Pao Delicatess,8.60
2026-01-09,Farmacia Mega Vida,103.97
2026-01-09,Cantina Csa,100.78
2026-01-09,Uber Uber *Trip Help.U,17.43
2026-01-09,Concret*e Santos Come,37.53
2026-01-08,Economart,74.05
2026-01-08,53943441jeorge,15.60
2026-01-08,Concret*e Santos Come,23.22
2026-01-07,Incardio Especialidad,29.00
2026-01-07,Pague Menos,66.48
2026-01-07,Nosso Pao Delicatess,7.10
2026-01-06,Le Biscuit,32.97
2026-01-06,Nosso Pao Delicatess,44.79
2026-01-06,Carloseduardo,62.94
2026-01-06,Betterme-Betterwoman,51.89
2026-01-06,"IOF de ""Betterme-Betterwoman""",1.81
2026-01-05,Economart,425.60
2026-01-05,Htm*Bruno Ferreira-,37.99
2026-01-05,53943441jeorge,4.50
2026-01-04,Riachuelo,39.98
2026-01-04,Cinesercla Avenida,32.00
2026-01-04,Churros Mania,8.00
2026-01-04,53943441jeorge,17.70
2026-01-04,Shoppingfeirade,12.00
2026-01-04,Pizzaria Camponary,71.90
2026-01-04,53943441jeorge,7.00
2026-01-04,Cantina Csa,20.31
2026-01-03,53943441jeorge,7.50
2026-01-03,Bobs Quiosque Shopping,20.00
2026-01-03,Kanto do Pao,28.92
2026-01-03,Loucas Por Make,10.00
2026-01-03,Nosso Pao Delicatess,7.70
2026-01-01,Arnaldo Supermercados,47.97
2026-01-01,53943441jeorge,26.30
2026-01-01,Cantina Csa,18.72
2026-01-01,Economart,411.32
2025-12-31,Cantina Csa,115.92
2025-12-31,Arnaldo Supermercados,26.69
2025-12-31,Tradicao Industria e C,24.00
2025-12-31,Tradicao Industria e C,23.00
2025-12-31,Farmacia Mega Vida,21.99
2025-12-31,Nosso Pao Delicatess,13.85
2025-12-30,Economart,80.53
2025-12-30,Pague Menos,59.25
2025-12-29,Saldo em rotativo,2294.39
2025-12-29,Crédito de rotativo,-2294.39
2025-12-29,Carloseduardo,105.00
2025-12-29,Pague Menos - Parcela 1/3,52.70
2025-12-29,Uber - NuPay,9.87
2025-12-29,Pagamento recebido,-3156.66
2025-12-28,Arnaldo Supermercados,107.08
2025-12-28,Cantina Csa,16.85
2025-12-27,53943441jeorge,14.90
2025-12-27,Kanto do Pao,23.22
2025-12-27,Farmacia Mega Vida,44.97
2025-12-27,53943441jeorge,9.50
2025-12-27,Cantina Csa,12.55
2025-12-27,Economart,311.19
2025-12-26,Posto Gasauto Noide,222.16
2025-12-26,Kanto do Pao,48.33
2025-12-25,Hortifruti Regina,8.21
2025-12-25,Kanto do Pao,120.08
2025-12-25,Farmacias da Economia,27.07
2025-12-25,Kairos Delicatessen,28.15
2025-12-25,Peu Barber Studio,76.00
2025-12-24,Megabmart - Parcela 1/4,30.02
2025-12-24,Segtron,14.00
2025-12-24,D L A Loucas Por Make,40.00
2025-12-24,Churros Mania,12.00
2025-12-24,Le Biscuit,39.97
2025-12-24,Lhassisguimaraes,65.00
2025-12-24,Economart,84.24
2025-12-24,53943441jeorge,19.50
2025-12-24,Lojas Americanas,6.99
2025-12-24,Shoppingfeirade,12.00
2025-12-23,53943441jeorge,16.00
2025-12-23,Shoppingfeirade,12.00
2025-12-23,Mkids Calcados - Parcela 1/4,50.02
2025-12-23,Salao Vizom,40.00
2025-12-23,Uber Uber *Trip Help.U,18.63
2025-12-23,Nosso Pao Delicatess,57.95
2025-12-22,53943441jeorge,5.50
2025-12-22,Boi Gordo,52.80
2025-12-22,Cantina Csa,56.87
2025-12-22,Mp *Gauchaonoide,76.34
2025-12-22,Jim.Com* Farmacia Ped,15.00
2025-12-22,Uber Uber *Trip Help.U,13.56
2025-12-21,Wps*Pizzaria Tio Mozza,77.00
2025-12-21,Kanto do Pao,22.90
2025-12-21,Top Carnes,50.00
2025-12-21,Carloseduardo,95.38
2025-12-21,Qsq Feira de Santana,19.50
2025-12-21,Shoppingfeirade,12.00
2025-12-21,53943441jeorge,12.00
2025-12-20,Make Biju 2025 Fs - Parcela 2/2,56.45
2025-12-20,Farmacia Brito - Parcela 2/3,72.54
2025-12-20,Cea Fei 495 Ecpc - Parcela 3/3,79.98
2025-12-20,Farmacia Brito - Parcela 3/4,53.42
2025-12-20,Economart,36.15
2025-12-20,Jim.Com* Ingrid Franc - Parcela 2/2,93.00
2025-12-20,Dona Menina - Parcela 2/3,91.00
2025-12-20,53943441jeorge,22.50
