date,title,amount
2026-02-19,Wps*Arnaldo Supermerca,53.11
2026-02-19,Mp *Geufrutassm,26.07
2026-02-18,Economart,51.00
2026-02-18,G Barbosa,43.53
2026-02-17,IOF de rotativo,27.34
2026-02-17,Juros de rotativo,454.03
2026-02-17,53943441jeorge,14.99
2026-02-17,Canto do Lanche,47.32
2026-02-17,53943441jeorge,14.80
2026-02-16,Carloseduardo,48.59
2026-02-16,Le Biscuit,63.79
2026-02-15,Posto Gasauto Noide,217.68
2026-02-15,Tradicao Industria e C,52.00
2026-02-15,53943441jeorge,12.00
2026-02-14,Economart,731.80
2026-02-13,Pagamento recebido,-2000.00
2026-02-13,53943441jeorge,6.00
2026-02-13,Vileve *Progresso Kali,14.21
2026-02-13,Arnaldo Supermercados,9.78
2026-02-12,Canto do Lanche,50.59
2026-02-11,Pague Menos,16.19
2026-02-11,53943441jeorge,21.74
2026-02-11,Canto do Lanche,95.34
2026-02-10,Canto do Lanche,77.10
2026-02-10,Wps*Arnaldo Supermerca,61.64
2026-02-10,Jim.Com* Cicera Alves,15.80
2026-02-09,53943441jeorge,17.80
2026-02-09,Economart,138.26
2026-02-09,53943441jeorge,21.00
2026-02-09,Pg *Juarez da Silva Tr,67.00
2026-02-08,Economart,72.84
2026-02-08,Pague Menos,83.97
2026-02-08,Hiperideal,32.68
2026-02-07,Carloseduardo,44.38
2026-02-07,Canto do Lanche,62.85
2026-02-07,Pague Menos,13.04
2026-02-06,Concret*e Santos Come,16.42
2026-02-06,Uber - NuPay,-14.90
2026-02-06,Uber - NuPay,14.90
2026-02-06,Canto do Lanche,47.96
2026-02-06,53943441jeorge,13.90
2026-02-05,Economart,101.21
2026-02-05,53943441jeorge,13.90
2026-02-04,Economart,46.70
2026-02-04,53943441jeorge,11.80
2026-02-03,Carloseduardo,25.00
2026-02-02,Arnaldo Supermercados,34.09
2026-02-02,53943441jeorge,10.00
2026-02-02,Uber - NuPay,12.64
2026-02-02,Economart,409.90
2026-02-01,Iap Cosmeticos - Parcela 1/2,44.44
2026-02-01,Kairos Delicatessen,8.99
2026-02-01,Shoppingfeirade,12.00
2026-02-01,Posto Alameda,223.19
2026-02-01,Cantina Csa,39.24
2026-02-01,Churros Mania,14.00
2026-02-01,Drogarias Sao Paulo,19.98
2026-02-01,Cea Fei 495 Ecpc,79.98
2026-02-01,Arnaldo Supermercados,9.50
2026-01-31,Kanto do Pao,9.31
2026-01-31,Carloseduardo,64.00
2026-01-30,Edsonramosde,105.00
2026-01-30,Le Biscuit,75.94
2026-01-30,Kanto do Pao,97.32
2026-01-30,Escola Luciana - Parcela 1/10,143.00
2026-01-30,Pague Menos,19.00
2026-01-30,Shoppingfeirade,12.00
2026-01-29,Uber - NuPay,-20.07
2026-01-29,53943441jeorge,12.00
2026-01-29,Uber - NuPay,20.07
2026-01-29,Arnaldo Supermercados,54.24
2026-01-29,Hortifruti Regina,44.20
2026-01-29,Concret*e Santos Come,6.30
2026-01-29,Tc Lavanderia,99.70
2026-01-28,Pagamento recebido,-647.90
2026-01-28,53943441jeorge,12.00
2026-01-28,53943441jeorge,9.80
2026-01-28,Incardio Especialidad,29.00
2026-01-28,Le Biscuit,23.98
2026-01-28,Pague Menos,39.82
2026-01-27,Estorno de juros da dívida encerrada,-88.58
2026-01-27,Crédito de rotativo,-4284.55
2026-01-27,Encerramento de dívida,88.58
2026-01-27,Estorno de juros de rotativo,-88.58
2026-01-27,Igor - Parcela 1/2,188.15
2026-01-27,Uber Uber *Trip Help.U,9.40
2026-01-27,Economart,6.30
2026-01-27,Saldo em rotativo,4284.55
2026-01-27,Pagamento recebido,-1000.00
2026-01-27,Kanto do Pao,39.70
2026-01-27,Uber Uber *Trip Help.U,3.00
2026-01-27,Pagamento recebido,-2399.00
2026-01-26,Uber - NuPay,11.06
2026-01-26,53943441jeorge,23.00
2026-01-26,Economart,178.48
2026-01-26,53943441jeorge,9.80
2026-01-25,Qsq Feira de Santana,18.00
2026-01-25,Arnaldo Supermercados,23.99
2026-01-25,Shoppingfeirade,12.00
2026-01-25,Economart,81.58
2026-01-25,53943441jeorge,12.00
2026-01-24,Uber Uber *Trip Help.U,13.42
2026-01-24,Uniao Feira de Santana - Parcela 1/3,51.68
2026-01-23,Concret*e Santos Come,5.27
2026-01-23,Carloseduardo,38.88
2026-01-23,Economart,91.11
2026-01-22,Pague Menos,27.98
2026-01-22,Economart,177.59
2026-01-22,Nosso Pao Delicatess,27.50
2026-01-21,Pague Menos - Parcela 1/4,42.25
2026-01-21,Economart,214.96
2026-01-20,Cantina Csa,31.62
2026-01-20,Farmacia Brito - Parcela 3/3,72.54
2026-01-20,Arnaldo Supermercados,3.99
2026-01-20,Megabmart - Parcela 2/4,29.99
2026-01-20,Farmacia Brito - Parcela 4/4,53.42
2026-01-20,Mkids Calcados - Parcela 2/4,49.99
2026-01-20,Pague Menos - Parcela 2/3,52.69
2026-01-20,Dona Menina - Parcela 3/3,91.00
2026-01-20,Carloseduardo,61.82
2026-01-20,Farmacia Brito - Parcela 3/3,97.34
2026-01-20,Farmacia Brito - Parcela 3/3,48.86
