date,title,amount
2025-11-19,53943441jeorge,26.50
2025-11-19,Feira de Sant,14.29
2025-11-19,Kanto do Pao,25.50
2025-11-18,Cappta *A Arnaldo Supe,38.23
2025-11-18,Carloseduardo,69.93
2025-11-18,Nosso Pao Delicatess,12.25
2025-11-18,Economart,219.50
2025-11-17,53943441jeorge,9.00
2025-11-17,Amazonprimebr,19.90
2025-11-17,Cappta *A Arnaldo Supe,9.45
2025-11-17,Jessicahorranade,19.41
2025-11-17,Kanto do Pao,38.61
2025-11-17,53943441jeorge,15.40
2025-11-17,Farmacia Mega Vida,52.46
2025-11-16,53943441jeorge,12.10
2025-11-15,Uber* Trip,16.75
2025-11-15,Economart,232.79
2025-11-15,Carloseduardo,25.80
2025-11-15,Feira de Sant,24.83
2025-11-15,53943441jeorge,12.00
2025-11-14,53943441jeorge,2.20
2025-11-14,Jai Supermercado,18.46
2025-11-14,Kanto do Pao,34.22
2025-11-13,Feira de Sant,6.07
2025-11-13,53943441jeorge,20.90
2025-11-13,Economart,96.95
2025-11-13,Farmacia Brito,114.20
2025-11-12,53943441jeorge,15.05
2025-11-12,Cantina Csa,45.00
2025-11-12,Pague Menos,38.49
2025-11-12,Mp *Padaria,5.00
2025-11-12,Carloseduardo,79.00
2025-11-12,Farmacia Brito,29.39
2025-11-11,Kanto do Pao,56.33
2025-11-11,Nosso Pao Delicatess,36.12
2025-11-11,Kanto do Pao,30.64
2025-11-10,53943441jeorge,9.00
2025-11-10,Arnaldo Supermercados,11.00
2025-11-10,53943441jeorge,4.90
2025-11-10,Top Carnes,45.00
2025-11-09,Uber - NuPay,20.02
2025-11-09,Carloseduardo,31.38
2025-11-09,Shoppingfeirade,11.00
2025-11-09,Cea Fei 495 Ecpc,39.98
2025-11-09,Arnaldo Supermercados,85.72
2025-11-09,Pague Menos,50.81
2025-11-09,Farmacia Mega Vida,78.99
2025-11-09,Cantina Csa,30.15
2025-11-07,Mp *Farmanutri,78.00
2025-11-07,Carloseduardo,54.77
2025-11-07,53943441jeorge,16.00
2025-11-07,Castelo do Pao,13.39
2025-11-07,Cantina Csa,61.57
2025-11-07,Cantina Csa,3.60
2025-11-07,Posto Alameda,210.31
2025-11-07,Pague Menos,28.87
2025-11-06,Feira de Sant,14.07
2025-11-06,Pizzaria Vovo Ines.,4.50
2025-11-06,53943441jeorge,18.30
2025-11-06,53943441jeorge,29.95
2025-11-06,Feira de Sant,11.83
2025-11-05,53943441jeorge,14.60
2025-11-05,Feira de Sant,18.27
2025-11-05,Uber - NuPay,13.47
2025-11-04,Carloseduardo,17.90
2025-11-04,Cantina Csa,43.42
2025-11-04,Feira de Sant,11.45
2025-11-03,53943441jeorge,20.90
2025-11-03,Farmacia Show de Preco,60.97
2025-11-02,Carloseduardo,33.74
2025-11-02,53943441jeorge,24.20
2025-11-01,Kanto do Pao,66.93
2025-11-01,Bahia Papelaria,36.68
2025-10-31,Feira de Sant,38.05
2025-10-31,Farmacia Brito - Parcela 1/4,53.45
2025-10-31,Carloseduardo,31.80
2025-10-31,Kanto do Pao,3.60
2025-10-30,Economart,1173.35
2025-10-30,Le Biscuit,36.74
2025-10-30,53943441jeorge,14.50
2025-10-30,Cantina Csa,22.20
2025-10-29,Geu Frutas,9.78
2025-10-29,Hortifruti Regina,41.61
2025-10-29,Kanto do Pao,51.88
2025-10-28,Pague Menos,15.99
2025-10-28,Cantina Csa,58.40
2025-10-28,Pagamento recebido,-2500.00
2025-10-28,Nosso Pao Delicatess,55.96
2025-10-28,Ifd*Ifood Club,5.95
2025-10-28,Pagamento recebido,-720.00
2025-10-28,Encerramento de dívida,-20.52
2025-10-28,IOF de rotativo,20.52
2025-10-28,Juros de dívida encerrada,20.52
2025-10-27,Pagamento recebido,-3681.54
2025-10-27,53943441jeorge,22.20
2025-10-27,Saldo em rotativo,3214.57
2025-10-27,Boi Gordo,105.99
2025-10-27,53943441jeorge,23.30
2025-10-27,Crédito de rotativo,-3214.57
2025-10-27,Kanto do Pao,30.34
2025-10-27,Farmacia Pedreira,25.00
2025-10-26,Cea Fei 495 Ecpc - Parcela 1/3,79.99
2025-10-26,Churros Mania,28.00
2025-10-26,Loucas Por Make,30.00
2025-10-26,Shoppingfeirade,11.00
2025-10-26,Carloseduardo,72.15
2025-10-25,Economart,114.77
2025-10-25,Economart,41.60
2025-10-25,53943441jeorge,18.90
2025-10-24,Supermercado Deusa Gra,97.40
2025-10-24,Nosso Pao Delicatess,28.40
2025-10-24,Top Carnes,45.00
2025-10-24,Cantina Csa,92.07
2025-10-23,Posto Kalilandia 1-She,213.26
2025-10-23,Feira de Sant,21.20
2025-10-23,Carloseduardo,33.67
2025-10-22,Feira de Sant,53.57
2025-10-22,Cantina Csa,34.18
2025-10-22,Carloseduardo,12.00
2025-10-21,Farmacia Mega Vida,24.99
2025-10-21,Kanto do Pao,89.91
2025-10-21,Castelo do Pao,19.26
2025-10-21,Cantina Csa,64.39
2025-10-20,Farmacia Brito - Parcela 2/2,60.20
2025-10-20,Farmacia Brito - Parcela 2/2,46.51
2025-10-20,53943441jeorge,14.10
2025-10-20,Le Biscuit - Parcela 3/3,55.31
2025-10-20,Pague Menos - Parcela 3/3,42.66
2025-10-20,Pague Menos,35.08
2025-10-20,Farmacia Brito - Parcela 2/3,43.37
2025-10-20,Pague Menos - Parcela 2/3,47.82
2025-10-20,Lojas Renner Fl - Parcela 3/3,53.23
2025-10-20,Arnaldo Supermercados,30.36
2025-10-20,Mp *Farmanutri - Parcela 2/3,93.33
2025-10-20,Economart,115.14
